name,rating,genre,release_year,movie_runtime,imdb_link
Amadeus,8.4,Costume Drama / Epic / Period Drama / Tragedy / Biography / Drama / Music / Comedic brilliance / Costume design / Direction / Musical score / Performance / Inner conflict / Religious themes / Historical accuracy,1984,2h 40m,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73
Toy Story,8.3,Buddy Comedy / Computer Animation / Supernatural Fantasy / Urban Adventure / Adventure / Animation / Comedy / Family / Fantasy / Animation style / Authentic emotion / Character development / Comedic brilliance / Emotional weight / Escapism / Friendship / Generational appeal / Technical achievement,1995,1h 21m,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_74
Avengers: Endgame,8.4,Space Sci-Fi / Superhero / Time Travel / Tragedy / Action / Adventure / Sci-Fi / Action sequences / Character development / Emotional weight / Nostalgic / Satisfying ending / Pacing / Thin story / Uneven quality,2019,3h 1m,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_75
Good Will Hunting,8.3,Coming-of-Age / Psychological Drama / Drama / Romance / Dialogue / Friendship / Mental health / Performance / Personal growth / Thought-provoking / Inner conflict / Social commentary,1997,2h 6m,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_76
Oldboy,8.3,Dark Comedy / One-Person Army Action / Psychological Drama / Psychological Thriller / Action / Drama / Mystery / Thriller / Action sequences / Atmospheric / Authentic emotion / Character development / Cinematography / Dark tone / Narrative complexity / Psychological depth / Surreal / Symbolism,2003,2h,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_77
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Dark Comedy / Farce / Political Drama / Satire / Tragedy / Comedy / War / Comedic brilliance / Dark humor / Direction / Performance / Rewatchable / Social commentary / Thought-provoking,1964,1h 35m,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_78
Das Boot,8.4,Epic / War Epic / Drama / War / Atmospheric / Authentic emotion / Cinematography / Direction / Historical accuracy / Realism / Sound design / Suspenseful / Boring,1981,N/A,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79
Braveheart,8.3,Action Epic / Costume Drama / Epic / Period Drama / War Epic / Biography / Drama / War / Action sequences / Character development / Cinematography / Direction / Epic / Freedom / Romantic / Soundtrack / Historical accuracy,1995,2h 58m,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80
American Beauty,8.3,Psychological Drama / Tragedy / Drama / Authentic emotion / Cinematography / Performance / Dark humor / Family dynamics / Sexuality / Social commentary / Symbolism,1999,2h 2m,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_81
High and Low,8.4,Police Procedural / Crime / Drama / Mystery / Thriller / Artistic vision / Authentic emotion / Camera work / Direction / Dramatic tension / Editing / Suspenseful / Social commentary / Thought-provoking,1963,2h 23m,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_82
Princess Mononoke,8.3,Action Epic / Adult Animation / Adventure Epic / Anime / Dark Fantasy / Fantasy Epic / Hand-Drawn Animation / Quest / Adventure / Animation / Animation style / Environmentalism / Narrative complexity / Philosophical elements / Social commentary / Soundtrack / Suspenseful / Dubbing,1997,2h 13m,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83
Your Name.,8.4,Anime / Shōjo / Animation / Drama / Fantasy / Romance / Animation style / Authentic emotion / Cinematography / Dreamlike / Emotional weight / Romantic / Soundtrack / Supernatural themes / Visual spectacle / Character development,2016,N/A,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84
3 Idiots,8.4,Buddy Comedy / Coming-of-Age / Quirky Comedy / Comedy / Drama / Authentic emotion / Character development / Comedic brilliance / Direction / Friendship / Inspirational / Performance / Social commentary,2009,2h 50m,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
